ID	genotipo	tratamiento	dia	t&d	replica	compartimento	choose	Genotype	Compartment
B5	sin_plantar	riego	dia_7	riego/dia_7	5	suelo	si	Bulk_soil	Bulk_soil
B7	sin_plantar	riego	dia_7	riego/dia_7	7	suelo	si	Bulk_soil	Bulk_soil
B9	sin_plantar	riego	dia_7	riego/dia_7	9	suelo	si	Bulk_soil	Bulk_soil
C1	sin_plantar	riego	dia_14	riego/dia_14	1	suelo	si	Bulk_soil	Bulk_soil
C3	sin_plantar	riego	dia_14	riego/dia_14	3	suelo	si	Bulk_soil	Bulk_soil
C5	sin_plantar	riego	dia_14	riego/dia_14	5	suelo	si	Bulk_soil	Bulk_soil
C7	sin_plantar	riego	dia_14	riego/dia_14	7	suelo	si	Bulk_soil	Bulk_soil
C9	sin_plantar	riego	dia_14	riego/dia_14	9	suelo	si	Bulk_soil	Bulk_soil
A57	sin_plantar	sequia	dia_0	sequia/dia_0	7	suelo	si	Bulk_soil	Bulk_soil
AS1	sin_plantar	sequia	dia_0	sequia/dia_0	1	suelo	si	Bulk_soil	Bulk_soil
AS3	sin_plantar	sequia	dia_0	sequia/dia_0	3	suelo	si	Bulk_soil	Bulk_soil
AS5	sin_plantar	sequia	dia_0	sequia/dia_0	5	suelo	si	Bulk_soil	Bulk_soil
AS9	sin_plantar	sequia	dia_0	sequia/dia_0	9	suelo	si	Bulk_soil	Bulk_soil
B59	sin_plantar	sequia	dia_7	sequia/dia_7	9	suelo	no	Bulk_soil	Bulk_soil
BS1	sin_plantar	sequia	dia_7	sequia/dia_7	1	suelo	no	Bulk_soil	Bulk_soil
BS3	sin_plantar	sequia	dia_7	sequia/dia_7	3	suelo	no	Bulk_soil	Bulk_soil
BS5	sin_plantar	sequia	dia_7	sequia/dia_7	5	suelo	no	Bulk_soil	Bulk_soil
BS7	sin_plantar	sequia	dia_7	sequia/dia_7	7	suelo	no	Bulk_soil	Bulk_soil
CS1	sin_plantar	sequia	dia_14	sequia/dia_14	1	suelo	no	Bulk_soil	Bulk_soil
CS3	sin_plantar	sequia	dia_14	sequia/dia_14	3	suelo	no	Bulk_soil	Bulk_soil
CS5	sin_plantar	sequia	dia_14	sequia/dia_14	5	suelo	no	Bulk_soil	Bulk_soil
CS7	sin_plantar	sequia	dia_14	sequia/dia_14	7	suelo	no	Bulk_soil	Bulk_soil
CS9	sin_plantar	sequia	dia_14	sequia/dia_14	9	suelo	no	Bulk_soil	Bulk_soil
G3BRP10	INIAP-122	riego	dia_0	riego/dia_0	1	rizosfera	si	INIAP-122	Rhizosphere
G3BRP20	INIAP-122	riego	dia_0	riego/dia_0	2	rizosfera	si	INIAP-122	Rhizosphere
G3BRP30	INIAP-122	riego	dia_0	riego/dia_0	3	rizosfera	si	INIAP-122	Rhizosphere
G3BRP40	INIAP-122	riego	dia_0	riego/dia_0	4	rizosfera	si	INIAP-122	Rhizosphere
RM3-1	INIAP-122	riego	dia_0	riego/dia_0	1	endosfera	si	INIAP-122	Root
RM3-2	INIAP-122	riego	dia_0	riego/dia_0	2	endosfera	si	INIAP-122	Root
RM3-3	INIAP-122	riego	dia_0	riego/dia_0	3	endosfera	si	INIAP-122	Root
RM3-4	INIAP-122	riego	dia_0	riego/dia_0	4	endosfera	si	INIAP-122	Root
G3BRP17	INIAP-122	riego	dia_7	riego/dia_7	1	rizosfera	si	INIAP-122	Rhizosphere
G3BRP2	INIAP-122	riego	dia_7	riego/dia_7	2	rizosfera	si	INIAP-122	Rhizosphere
G3BRP37	INIAP-122	riego	dia_7	riego/dia_7	3	rizosfera	si	INIAP-122	Rhizosphere
G3BRP4	INIAP-122	riego	dia_7	riego/dia_7	4	rizosfera	si	INIAP-122	Rhizosphere
RN3-1	INIAP-122	riego	dia_7	riego/dia_7	1	endosfera	si	INIAP-122	Root
RN3-2	INIAP-122	riego	dia_7	riego/dia_7	2	endosfera	si	INIAP-122	Root
RN3-3	INIAP-122	riego	dia_7	riego/dia_7	3	endosfera	si	INIAP-122	Root
RN3-4	INIAP-122	riego	dia_7	riego/dia_7	4	endosfera	si	INIAP-122	Root
R03-1	INIAP-122	riego	dia_14	riego/dia_14	1	endosfera	si	INIAP-122	Root
R03-2	INIAP-122	riego	dia_14	riego/dia_14	2	endosfera	si	INIAP-122	Root
R03-3	INIAP-122	riego	dia_14	riego/dia_14	3	endosfera	si	INIAP-122	Root
R03-4	INIAP-122	riego	dia_14	riego/dia_14	4	endosfera	si	INIAP-122	Root
G3BRP114	INIAP-122	riego	dia_14	riego/dia_14	1	rizosfera	si	INIAP-122	Rhizosphere
G3BRP27	INIAP-122	riego	dia_14	riego/dia_14	2	rizosfera	si	INIAP-122	Rhizosphere
G3BRP314	INIAP-122	riego	dia_14	riego/dia_14	3	rizosfera	si	INIAP-122	Rhizosphere
G3BRP47	INIAP-122	riego	dia_14	riego/dia_14	4	rizosfera	si	INIAP-122	Rhizosphere
G3SEP10	INIAP-122	sequia	dia_0	sequia/dia_0	1	rizosfera	si	INIAP-122	Rhizosphere
G3SEP20	INIAP-122	sequia	dia_0	sequia/dia_0	2	rizosfera	si	INIAP-122	Rhizosphere
G3SEP30	INIAP-122	sequia	dia_0	sequia/dia_0	3	rizosfera	si	INIAP-122	Rhizosphere
G3SEP40	INIAP-122	sequia	dia_0	sequia/dia_0	4	rizosfera	si	INIAP-122	Rhizosphere
SM3-1	INIAP-122	sequia	dia_0	sequia/dia_0	1	endosfera	si	INIAP-122	Root
SM3-2	INIAP-122	sequia	dia_0	sequia/dia_0	2	endosfera	si	INIAP-122	Root
SM3-3	INIAP-122	sequia	dia_0	sequia/dia_0	3	endosfera	si	INIAP-122	Root
SM3-4	INIAP-122	sequia	dia_0	sequia/dia_0	4	endosfera	si	INIAP-122	Root
G3SEP17	INIAP-122	sequia	dia_7	sequia/dia_7	1	rizosfera	no	INIAP-122	Rhizosphere
